group,replicate,fastq_1,fastq_2
SRR11297431,1,inputs/SRR11297431_1.fastq.gz,inputs/SRR11297431_2.fastq.gz
SRR11297432,1,inputs/SRR11297432_1.fastq.gz,inputs/SRR11297432_2.fastq.gz
SRR11297433,1,inputs/SRR11297433_1.fastq.gz,inputs/SRR11297433_2.fastq.gz
SRR11297434,1,inputs/SRR11297434_1.fastq.gz,inputs/SRR11297434_2.fastq.gz
SRR11297435,1,inputs/SRR11297435_1.fastq.gz,inputs/SRR11297435_2.fastq.gz
SRR11297436,1,inputs/SRR11297436_1.fastq.gz,inputs/SRR11297436_2.fastq.gz
SRR11297437,1,inputs/SRR11297437_1.fastq.gz,inputs/SRR11297437_2.fastq.gz
SRR11297438,1,inputs/SRR11297438_1.fastq.gz,inputs/SRR11297438_2.fastq.gz
SRR11297439,1,inputs/SRR11297439_1.fastq.gz,inputs/SRR11297439_2.fastq.gz
SRR11297440,1,inputs/SRR11297440_1.fastq.gz,inputs/SRR11297440_2.fastq.gz
SRR11297441,1,inputs/SRR11297441_1.fastq.gz,inputs/SRR11297441_2.fastq.gz
SRR11297442,1,inputs/SRR11297442_1.fastq.gz,inputs/SRR11297442_2.fastq.gz
SRR11297443,1,inputs/SRR11297443_1.fastq.gz,inputs/SRR11297443_2.fastq.gz
SRR11297444,1,inputs/SRR11297444_1.fastq.gz,inputs/SRR11297444_2.fastq.gz
SRR11297445,1,inputs/SRR11297445_1.fastq.gz,inputs/SRR11297445_2.fastq.gz
SRR11297446,1,inputs/SRR11297446_1.fastq.gz,inputs/SRR11297446_2.fastq.gz
SRR11297447,1,inputs/SRR11297447_1.fastq.gz,inputs/SRR11297447_2.fastq.gz
SRR11297448,1,inputs/SRR11297448_1.fastq.gz,inputs/SRR11297448_2.fastq.gz
SRR11297449,1,inputs/SRR11297449_1.fastq.gz,inputs/SRR11297449_2.fastq.gz
SRR11297450,1,inputs/SRR11297450_1.fastq.gz,inputs/SRR11297450_2.fastq.gz
SRR11297451,1,inputs/SRR11297451_1.fastq.gz,inputs/SRR11297451_2.fastq.gz
SRR11297452,1,inputs/SRR11297452_1.fastq.gz,inputs/SRR11297452_2.fastq.gz
SRR11297453,1,inputs/SRR11297453_1.fastq.gz,inputs/SRR11297453_2.fastq.gz
SRR11297454,1,inputs/SRR11297454_1.fastq.gz,inputs/SRR11297454_2.fastq.gz
SRR11297455,1,inputs/SRR11297455_1.fastq.gz,inputs/SRR11297455_2.fastq.gz
SRR11297456,1,inputs/SRR11297456_1.fastq.gz,inputs/SRR11297456_2.fastq.gz
SRR11297457,1,inputs/SRR11297457_1.fastq.gz,inputs/SRR11297457_2.fastq.gz
SRR11297458,1,inputs/SRR11297458_1.fastq.gz,inputs/SRR11297458_2.fastq.gz
SRR11297459,1,inputs/SRR11297459_1.fastq.gz,inputs/SRR11297459_2.fastq.gz
SRR11297460,1,inputs/SRR11297460_1.fastq.gz,inputs/SRR11297460_2.fastq.gz
